"day","wave_height","cloud_cover","rain","moon"
2019-02-06,0.234999999403954,0.260277599096298,0,0.0254492853698458
2019-02-07,0.377499997615814,0.367574214935303,3.96951982395422e-05,0.0635420847679397
2019-02-08,0.336250003427267,0.538698136806488,7.96444510342553e-06,0.118042968541248
2019-02-09,0.451249994337559,0.679624855518341,0.000206571712624282,0.187926535455711
2019-02-10,0.921250015497208,0.166948556900024,0.000167109348581107,0.271665047251718
2019-02-11,1.15124998986721,0.326570421457291,0.0943663762882352,0.367010272172554
2019-02-12,0.604999996721745,0.7357337474823,0.00282986252386763,0.470785186824671
2019-02-13,0.273749999701977,0.513998448848724,0,0.578758880336686
2019-02-14,0.557500004768372,0.82577919960022,0,0.685683719477611
2019-02-15,0.528749994933605,0.691634178161621,6.35385148939349e-05,0.785554147680543
2019-02-16,0.433749996125698,0.529494225978851,0.000202658455350502,0.872097901022068
2019-02-17,0.622499994933605,0.644693613052368,0,0.939442384996139
2019-02-18,0.439999997615814,0.70646995306015,2.18278728425503e-08,0.982834139304546
2019-02-19,0.403749998658895,0.451753169298172,9.531868272461e-05,0.999255352915732
2019-02-20,0.256249997764826,0.14290215075016,2.39039454896783e-05,0.987796809897978
2019-02-21,0.128749999217689,0.677988111972809,0.000445576006313786,0.94970926591262
2019-02-22,0.226250000298023,0.674537122249603,0,0.888141408449784
2019-02-23,0.252499999478459,0.233737513422966,0,0.807648837676497
2019-02-24,0.566249992698431,0.316036850214005,0,0.713598849211601
2019-02-25,0.469999998807907,0.253182411193848,0,0.611593011976602
2019-02-26,0.417499996721745,0.128815799951553,0,0.506995052545754
2019-02-27,0.523749988526106,0.0671885684132576,1.19706173862255e-05,0.404605718949549
2019-02-28,0.492499988526106,0.196397319436073,0,0.308486840607948
2019-03-01,0.30375000461936,0.828224956989288,0.000752866355924198,0.221912322321122
2019-03-02,0.371250003576279,0.951233208179474,0.000214510393448109,0.147413863311377
2019-03-03,0.483749996870756,0.545235514640808,0,0.0868884150662639
2019-03-04,1.09999999403954,0.748718023300171,0,0.0417369519808926
2019-03-05,0.793749995529652,0.287314802408218,0.00478339416076778,0.0130063057647491
2019-03-06,0.905000001192093,0.456285208463669,0.000274352117912713,0.00150655338701511
2019-03-07,1.30750001221895,0.894958555698395,0,0.00787681375949517
2019-03-08,0.608750008046627,0.923051595687866,1.59294959445333e-05,0.0325747251713713
2019-03-09,0.240000002086163,0.324123531579971,0,0.0757724277661244
2019-03-10,0.340000001713634,0.155890315771103,0,0.137157374614663
2019-03-11,0.567499998956919,0.322935730218887,0.00497807423016638,0.215660721825978
2019-03-12,0.604999992996454,0.300598472356796,0.00414293981521041,0.309166478686186
2019-03-13,0.761250004172325,0.133283451199532,0.00341850568474911,0.414282679165055
2019-03-14,1.12374999374151,0.0939455032348633,0.000190659193322062,0.526268640241386
