fish_id,station,dist_mean,dist_sd,dist_var_coef,step_mean,step_max,temperature,shift_duration,shift,day,shift_id
EM0002,TOR05,82.85,16.97,0.2,9.41,51.81,22.3,3,"[8,11)",28/10/2021,"2021-10-28 [8,11)"
EM0007,TOR04,106.2,15.26,0.14,3.49,18.78,22.212,3,"[8,11)",28/10/2021,"2021-10-28 [8,11)"
EM0001,TOR04,120.44,20.93,0.17,11.87,44.87,22.25,3,"[8,11)",28/10/2021,"2021-10-28 [8,11)"
EM0008,TOR05,126.81,16.44,0.13,14.83,52.21,22.3,3,"[8,11)",28/10/2021,"2021-10-28 [8,11)"
EM0002,TOR05,58.44,13.78,0.24,10.97,38.04,22.282,2,"[11,13)",28/10/2021,"2021-10-28 [11,13)"
EM0006,TOR05,58.19,1.19,0.02,1.27,3.06,22.27,2,"[11,13)",28/10/2021,"2021-10-28 [11,13)"
EM0004,TOR05,66.13,14.39,0.22,6.5,29.94,22.257,2,"[11,13)",28/10/2021,"2021-10-28 [11,13)"
EM0007,TOR04,103.73,2.84,0.03,3.64,7.6,22.253,2,"[11,13)",28/10/2021,"2021-10-28 [11,13)"
EM0001,TOR04,119.85,15.77,0.13,12.5,39.87,22.281,2,"[11,13)",28/10/2021,"2021-10-28 [11,13)"
EM0003,TOR04,111.4,15.91,0.14,4.44,14.6,22.286,2,"[11,13)",28/10/2021,"2021-10-28 [11,13)"
EM0008,TOR05,116.74,14.13,0.12,7.97,36.01,22.261,2,"[11,13)",28/10/2021,"2021-10-28 [11,13)"
EM0005,TOR05,115.35,3.58,0.03,4.67,14.04,22.233,2,"[11,13)",28/10/2021,"2021-10-28 [11,13)"
EM0006,TOR05,64.32,15.1,0.23,8.11,51.38,22.256,5,"[13,18)",28/10/2021,"2021-10-28 [13,18)"
EM0008,TOR05,115.1,20.46,0.18,13.54,69.74,22.255,5,"[13,18)",28/10/2021,"2021-10-28 [13,18)"
EM0003,TOR05,116.73,17.82,0.15,7.11,20.04,22.29,5,"[13,18)",28/10/2021,"2021-10-28 [13,18)"
EM0007,TOR04,111.04,15.07,0.14,4.58,39.29,22.285,5,"[13,18)",28/10/2021,"2021-10-28 [13,18)"
EM0005,TOR05,112.66,14.64,0.13,13.53,40.37,22.231,5,"[13,18)",28/10/2021,"2021-10-28 [13,18)"
EM0004,TOR05,69.55,13.07,0.19,11.9,47.87,22.25,5,"[13,18)",28/10/2021,"2021-10-28 [13,18)"
EM0002,TOR05,73.51,14.28,0.19,9.67,31.52,22.231,5,"[13,18)",28/10/2021,"2021-10-28 [13,18)"
EM0001,TOR05,98.9,12.5,0.13,8.26,33.97,22.229,5,"[13,18)",28/10/2021,"2021-10-28 [13,18)"
EM0006,TOR05,78.69,22.85,0.29,9.65,48.93,22.3,4,"[19,23)",28/10/2021,"2021-10-28 [19,23)"
EM0005,TOR05,102.93,5.02,0.05,4.7,18.88,22.3,4,"[19,23)",28/10/2021,"2021-10-28 [19,23)"
EM0007,TOR04,100.82,21.74,0.22,10.25,22.63,22.212,4,"[19,23)",28/10/2021,"2021-10-28 [19,23)"
EM0004,TOR05,67.67,13.72,0.2,17.34,33.99,22.3,4,"[19,23)",28/10/2021,"2021-10-28 [19,23)"
EM0008,TOR05,98.09,17.74,0.18,15.87,48.38,22.3,4,"[19,23)",28/10/2021,"2021-10-28 [19,23)"
EM0003,TOR05,104.43,21.52,0.21,10.39,21.63,22.254,4,"[19,23)",28/10/2021,"2021-10-28 [19,23)"
EM0001,TOR04,93.39,23.42,0.25,11.72,41.47,22.235,4,"[19,23)",28/10/2021,"2021-10-28 [19,23)"
EM0002,TOR05,75.71,14.9,0.2,14.01,41.38,22.3,4,"[19,23)",28/10/2021,"2021-10-28 [19,23)"
EM0006,TOR05,60.2,10.39,0.17,5.47,31.8,22.2,3,"[8,11)",29/10/2021,"2021-10-29 [8,11)"
EM0005,TOR05,106.89,12.16,0.11,11.22,22.33,22.2,3,"[8,11)",29/10/2021,"2021-10-29 [8,11)"
EM0007,TOR04,108.57,11.02,0.1,4.61,25.59,22.108,3,"[8,11)",29/10/2021,"2021-10-29 [8,11)"
EM0008,TOR05,105.48,13.52,0.13,5.72,39.89,22.2,3,"[8,11)",29/10/2021,"2021-10-29 [8,11)"
EM0004,TOR05,65.43,6.61,0.1,4.88,21.42,22.2,3,"[8,11)",29/10/2021,"2021-10-29 [8,11)"
EM0002,TOR05,91.18,9.71,0.11,4.04,17.86,22.2,3,"[8,11)",29/10/2021,"2021-10-29 [8,11)"
EM0001,TOR05,121.78,14.32,0.12,15.54,57.96,22.172,3,"[8,11)",29/10/2021,"2021-10-29 [8,11)"
EM0003,TOR05,121.6,3.25,0.03,4.06,7.93,22.2,3,"[8,11)",29/10/2021,"2021-10-29 [8,11)"
EM0006,TOR05,56.53,2.08,0.04,2.39,8.64,22.2,2,"[11,13)",29/10/2021,"2021-10-29 [11,13)"
EM0005,TOR05,108.01,NA,NA,16.17,16.17,22.2,2,"[11,13)",29/10/2021,"2021-10-29 [11,13)"
EM0008,TOR05,111.44,14.44,0.13,7.59,41.88,22.2,2,"[11,13)",29/10/2021,"2021-10-29 [11,13)"
EM0004,TOR05,60.17,13.73,0.23,9.45,28.94,22.2,2,"[11,13)",29/10/2021,"2021-10-29 [11,13)"
EM0002,TOR05,75.5,6.65,0.09,7.96,9.4,22.2,2,"[11,13)",29/10/2021,"2021-10-29 [11,13)"
EM0001,TOR05,104.71,2.54,0.02,3.42,8.55,22.2,2,"[11,13)",29/10/2021,"2021-10-29 [11,13)"
EM0003,TOR05,124.66,1.94,0.02,4.04,9.12,22.2,2,"[11,13)",29/10/2021,"2021-10-29 [11,13)"
EM0007,TOR05,131.61,NA,NA,21.01,21.01,22.2,2,"[11,13)",29/10/2021,"2021-10-29 [11,13)"
EM0004,TOR05,49.68,13.43,0.27,10.71,42.85,22.2,5,"[13,18)",29/10/2021,"2021-10-29 [13,18)"
EM0001,TOR05,110.24,5.34,0.05,4.94,17.26,22.2,5,"[13,18)",29/10/2021,"2021-10-29 [13,18)"
EM0005,TOR05,113.29,12.15,0.11,14.1,34.55,22.2,5,"[13,18)",29/10/2021,"2021-10-29 [13,18)"
EM0006,TOR05,60.33,6.26,0.1,5.44,32.6,22.2,5,"[13,18)",29/10/2021,"2021-10-29 [13,18)"
EM0008,TOR05,124.59,21.11,0.17,20.91,60.85,22.2,5,"[13,18)",29/10/2021,"2021-10-29 [13,18)"
EM0007,TOR05,141.94,5.46,0.04,5.21,14.23,22.2,5,"[13,18)",29/10/2021,"2021-10-29 [13,18)"
EM0003,TOR05,126.32,3.18,0.03,4.06,9,22.2,5,"[13,18)",29/10/2021,"2021-10-29 [13,18)"
EM0002,TOR05,57.92,8.89,0.15,9,25.9,22.2,5,"[13,18)",29/10/2021,"2021-10-29 [13,18)"
EM0006,TOR05,89.38,25.63,0.29,13.57,45.56,22.2,4,"[19,23)",29/10/2021,"2021-10-29 [19,23)"
EM0008,TOR05,100.52,28.51,0.28,29.25,69.26,22.2,4,"[19,23)",29/10/2021,"2021-10-29 [19,23)"
EM0004,TOR05,54.94,8.81,0.16,14.24,23.34,22.2,4,"[19,23)",29/10/2021,"2021-10-29 [19,23)"
EM0001,TOR05,105.25,NA,NA,5.08,5.08,22.2,4,"[19,23)",29/10/2021,"2021-10-29 [19,23)"
EM0002,TOR05,51.18,9.24,0.18,9.65,14.93,22.2,4,"[19,23)",29/10/2021,"2021-10-29 [19,23)"
EM0007,TOR05,108.62,NA,NA,34.33,34.33,22.2,4,"[19,23)",29/10/2021,"2021-10-29 [19,23)"
EM0001,TOR05,111.26,5.01,0.05,6.25,11.48,22.1,3,"[8,11)",30/10/2021,"2021-10-30 [8,11)"
EM0006,TOR05,69.06,10.81,0.16,7.81,24.63,22.1,3,"[8,11)",30/10/2021,"2021-10-30 [8,11)"
EM0004,TOR05,69.46,10.28,0.15,7.73,19.83,22.1,3,"[8,11)",30/10/2021,"2021-10-30 [8,11)"
EM0007,TOR05,139.4,NA,NA,29.96,29.96,22.1,3,"[8,11)",30/10/2021,"2021-10-30 [8,11)"
EM0002,TOR05,100.48,4.86,0.05,12.91,41.67,22.1,3,"[8,11)",30/10/2021,"2021-10-30 [8,11)"
EM0005,TOR05,104.55,NA,NA,0.88,0.88,22.1,3,"[8,11)",30/10/2021,"2021-10-30 [8,11)"
