day,hora,divers
28/03/2021,"[19,23)",0
28/03/2021,"[8,11)",11
29/03/2021,"[11,13)",0
29/03/2021,"[13,18)",0
29/03/2021,"[19,23)",0
29/03/2021,"[8,11)",0
30/03/2021,"[11,13)",0
30/03/2021,"[13,18)",0
30/03/2021,"[19,23)",0
30/03/2021,"[8,11)",0
31/03/2021,"[11,13)",0
31/03/2021,"[13,18)",0
31/03/2021,"[19,23)",0
31/03/2021,"[8,11)",0
01/04/2021,"[11,13)",22
01/04/2021,"[13,18)",22
01/04/2021,"[19,23)",0
01/04/2021,"[8,11)",34
02/04/2021,"[11,13)",36
02/04/2021,"[13,18)",24
02/04/2021,"[19,23)",0
02/04/2021,"[8,11)",48
03/04/2021,"[11,13)",36
03/04/2021,"[13,18)",0
03/04/2021,"[19,23)",0
03/04/2021,"[8,11)",36
04/04/2021,"[11,13)",44
04/04/2021,"[13,18)",0
04/04/2021,"[19,23)",0
04/04/2021,"[8,11)",0
05/04/2021,"[11,13)",29
05/04/2021,"[13,18)",0
05/04/2021,"[19,23)",0
05/04/2021,"[8,11)",35
06/04/2021,"[11,13)",0
06/04/2021,"[13,18)",0
06/04/2021,"[19,23)",0
06/04/2021,"[8,11)",0
07/04/2021,"[11,13)",0
07/04/2021,"[13,18)",0
07/04/2021,"[19,23)",0
07/04/2021,"[8,11)",0
08/04/2021,"[11,13)",0
08/04/2021,"[13,18)",0
08/04/2021,"[19,23)",0
08/04/2021,"[8,11)",0
09/04/2021,"[11,13)",0
09/04/2021,"[13,18)",0
09/04/2021,"[19,23)",0
09/04/2021,"[8,11)",0
10/04/2021,"[11,13)",44
10/04/2021,"[13,18)",0
10/04/2021,"[19,23)",0
10/04/2021,"[8,11)",0
11/04/2021,"[11,13)",32
11/04/2021,"[13,18)",0
11/04/2021,"[19,23)",0
11/04/2021,"[8,11)",12
12/04/2021,"[11,13)",0
12/04/2021,"[13,18)",0
12/04/2021,"[19,23)",0
12/04/2021,"[8,11)",0
13/04/2021,"[11,13)",0
13/04/2021,"[13,18)",0
13/04/2021,"[19,23)",0
13/04/2021,"[8,11)",0
14/04/2021,"[11,13)",0
14/04/2021,"[13,18)",0
14/04/2021,"[19,23)",0
14/04/2021,"[8,11)",0
15/04/2021,"[11,13)",0
15/04/2021,"[13,18)",0
15/04/2021,"[19,23)",0
15/04/2021,"[8,11)",0
16/04/2021,"[11,13)",0
16/04/2021,"[13,18)",0
16/04/2021,"[19,23)",0
16/04/2021,"[8,11)",0
17/04/2021,"[11,13)",44
17/04/2021,"[13,18)",0
17/04/2021,"[19,23)",0
17/04/2021,"[8,11)",12
18/04/2021,"[11,13)",20
18/04/2021,"[13,18)",0
18/04/2021,"[19,23)",0
18/04/2021,"[8,11)",0
19/04/2021,"[11,13)",0
19/04/2021,"[13,18)",0
19/04/2021,"[19,23)",0
19/04/2021,"[8,11)",0
20/04/2021,"[11,13)",0
20/04/2021,"[13,18)",0
20/04/2021,"[19,23)",0
20/04/2021,"[8,11)",0
21/04/2021,"[11,13)",0
21/04/2021,"[13,18)",0
21/04/2021,"[19,23)",0
21/04/2021,"[8,11)",0
22/04/2021,"[11,13)",0
22/04/2021,"[13,18)",0
22/04/2021,"[19,23)",0
22/04/2021,"[8,11)",0
23/04/2021,"[11,13)",0
23/04/2021,"[13,18)",0
23/04/2021,"[19,23)",0
23/04/2021,"[8,11)",0
24/04/2021,"[11,13)",22
24/04/2021,"[13,18)",10
24/04/2021,"[19,23)",0
24/04/2021,"[8,11)",22
25/04/2021,"[11,13)",44
25/04/2021,"[13,18)",0
25/04/2021,"[19,23)",0
25/04/2021,"[8,11)",24
26/04/2021,"[11,13)",0
26/04/2021,"[13,18)",0
26/04/2021,"[19,23)",0
26/04/2021,"[8,11)",0
27/04/2021,"[11,13)",0
27/04/2021,"[13,18)",0
27/04/2021,"[19,23)",0
27/04/2021,"[8,11)",0
28/04/2021,"[11,13)",0
28/04/2021,"[13,18)",24
28/04/2021,"[19,23)",0
28/04/2021,"[8,11)",0
29/04/2021,"[11,13)",5
29/04/2021,"[13,18)",4
29/04/2021,"[19,23)",0
29/04/2021,"[8,11)",0
30/04/2021,"[11,13)",10
30/04/2021,"[13,18)",0
30/04/2021,"[19,23)",0
30/04/2021,"[8,11)",0
01/05/2021,"[11,13)",43
01/05/2021,"[13,18)",0
01/05/2021,"[19,23)",0
01/05/2021,"[8,11)",24
02/05/2021,"[11,13)",44
02/05/2021,"[13,18)",0
02/05/2021,"[19,23)",0
02/05/2021,"[8,11)",0
03/05/2021,"[11,13)",24
03/05/2021,"[13,18)",0
03/05/2021,"[19,23)",0
03/05/2021,"[8,11)",0
04/05/2021,"[11,13)",0
04/05/2021,"[13,18)",0
04/05/2021,"[19,23)",0
04/05/2021,"[8,11)",0
05/05/2021,"[11,13)",0
05/05/2021,"[13,18)",0
05/05/2021,"[19,23)",0
05/05/2021,"[8,11)",0
06/05/2021,"[11,13)",11
06/05/2021,"[13,18)",0
06/05/2021,"[19,23)",0
06/05/2021,"[8,11)",0
07/05/2021,"[11,13)",12
07/05/2021,"[13,18)",0
07/05/2021,"[19,23)",0
07/05/2021,"[8,11)",0
08/05/2021,"[11,13)",44
08/05/2021,"[13,18)",0
08/05/2021,"[19,23)",0
08/05/2021,"[8,11)",43
09/05/2021,"[11,13)",44
09/05/2021,"[13,18)",20
09/05/2021,"[19,23)",0
09/05/2021,"[8,11)",0
10/05/2021,"[11,13)",0
10/05/2021,"[13,18)",0
10/05/2021,"[19,23)",0
10/05/2021,"[8,11)",0
11/05/2021,"[11,13)",0
11/05/2021,"[13,18)",0
11/05/2021,"[19,23)",0
11/05/2021,"[8,11)",0
12/05/2021,"[11,13)",11
12/05/2021,"[13,18)",0
12/05/2021,"[19,23)",0
12/05/2021,"[8,11)",0
13/05/2021,"[11,13)",12
13/05/2021,"[13,18)",12
13/05/2021,"[19,23)",0
13/05/2021,"[8,11)",0
14/05/2021,"[11,13)",24
14/05/2021,"[13,18)",0
14/05/2021,"[19,23)",0
14/05/2021,"[8,11)",24
15/05/2021,"[11,13)",44
15/05/2021,"[13,18)",44
15/05/2021,"[19,23)",0
15/05/2021,"[8,11)",44
16/05/2021,"[11,13)",44
16/05/2021,"[13,18)",0
16/05/2021,"[19,23)",0
16/05/2021,"[8,11)",44
17/05/2021,"[11,13)",0
17/05/2021,"[13,18)",0
17/05/2021,"[19,23)",0
17/05/2021,"[8,11)",0
18/05/2021,"[11,13)",20
18/05/2021,"[13,18)",0
18/05/2021,"[19,23)",0
18/05/2021,"[8,11)",10
19/05/2021,"[11,13)",0
19/05/2021,"[13,18)",12
19/05/2021,"[19,23)",0
19/05/2021,"[8,11)",0
20/05/2021,"[11,13)",32
20/05/2021,"[13,18)",12
20/05/2021,"[19,23)",0
20/05/2021,"[8,11)",32
21/05/2021,"[11,13)",32
21/05/2021,"[13,18)",44
21/05/2021,"[19,23)",0
21/05/2021,"[8,11)",0
22/05/2021,"[11,13)",34
22/05/2021,"[13,18)",34
22/05/2021,"[19,23)",0
22/05/2021,"[8,11)",46
23/05/2021,"[11,13)",44
23/05/2021,"[13,18)",20
23/05/2021,"[19,23)",0
23/05/2021,"[8,11)",44
